report_group_id,vendor,period,primary_file_count,supporting_file_count,source_format,currency,source_line_count,declared_total,computed_total,posting_total,validation,automation_state,authoritative_amount_rule,parser_family,material_issue,recommended_action
control_mapping,Control files,current supplied version,1,,xlsx,,,,,,reviewed_with_corrections,reference_only,business instructions only,xlsx_control_mapping,Some rules conflict with source evidence and historical postings.,"Keep as policy input, not as executable truth."
historical_airtable,Control files,historical through June 2026,1,,xlsx,,19076 posting rows,,,,reviewed,reference_only,historical posting behavior and canonical names,xlsx_historical_output,Ten fields are insufficient as the system record.,Use as export target and test oracle only.
column_glossary,Control files,supplied CSV,1,,csv,,,,,,reviewed_with_cautions,reference_only,none,csv_glossary,Contains incomplete and outdated conclusions.,Use after source files and historical data.
1979_q1_2026,1979 Media (Dorcel),2026 Q1,1,,xlsx,EUR,7572 title rows plus adjustments,20698.68268,20698.68268,20698.68 across studio postings,passed,ready_with_review,TOTAL H.T. plus studio detail from Reversement distributeur,xlsx_1979_dorcel,"Worksheet name says January to February, while the period cell says January to March.",Use the period cell and keep the Q4 2025 delta as a separate adjustment.
aerona_apr_2026,AERONA LLC,2026-04,1,4,xlsx,USD,6390 rollup title rows,81318.52240,81318.52240,81318.52 across studio postings,passed,ready,rollup Total column,xlsx_aerona_rollup,Raw files omit 570.6537 USD of Unlimited revenue in the four sampled platforms.,Use the rollup. Keep raw files only for store detail and audit evidence.
amg_apr_2026,All Media Group (AMG),2026-04,1,,xlsx,USD,12,4219.545,4219.545,"568.2375 automated, remaining highlighted rows manual",review_required,review_gate,Payout on nonhighlighted revenue share rows,xlsx_amg_mixed,The workbook total includes yellow flat fee rows marked for manual handling.,Split automated revenue share and manual flat fee queues.
av_apr_2026,AV Entertainment/Optical Xtreme,2026-04,1,,xlsx,USD,,907.45,907.445,907.45,passed_with_rounding,ready,header 35 percent royalty,xlsx_av_royalty_header,"Line Total is gross, not payable.",Apply 35 percent and reconcile to the header.
dream_q1_2026,Dream Logistics BV,2026 Q1,1,,pdf,USD,4,1417.50,1417.50,1417.50 across four studio postings,passed,ready_with_review,invoice subtotal minus adjustments,pdf_invoice_lines,,Parse four invoice lines and validate subtotal.
dusk_apr_2026,Dusk TV / 2GrapesMedia B.V.,2026-04,1,1,xlsx plus pdf,EUR,63,173.11,173.109184259211754,173.11,passed_with_rounding,ready,footer payout total,xlsx_dusk_playlist,Top and bottom summary rows duplicate the same values.,"Use title rows only, then validate against the footer and PDF."
erigo_feb_2026,Erigo / Load,2026-02,1,,pdf,USD,2,461.85,461.85,461.85,warning,review_gate,TOTAL USD PAYMENT,pdf_payment_narrative,One line has a malformed GBP label.,Parse named totals and require currency review.
erika_q1_2026,Erika Lust / Lust Productions,2026 Q1,1,,xlsx,EUR,,13235.861710666659,13235.861710666659,13235.86 across producer postings,warning,ready_with_warning,producer summary,xlsx_erika_summary,Detail omits Viv Thomas by 143.516114333329 EUR.,Use producer summary for postings and mark detail incomplete.
gamma_licensing_jan_2026,Gamma Broadcast Group Inc. Licensing,2026-01 processed in April 2026,1,,xlsx,USD,,1861.987866,1861.987866,1861.99,passed,ready_with_review,highlighted running balance after wire fee,xlsx_gamma_running_balance,"Current period earned is 1507.082659 USD, which is not the payable.",Store period income and cumulative payable separately.
gamma_adult_time_apr_2026,Gamma Broadcast Group Inc. Adult Time,2026-04,2,,pdf,USD,,959.51,959.51,959.51,passed,ready_with_review,sum of both report grand totals,pdf_adulttime_scene,,Parse scene Revshare and bundle both PDFs.
girlfriends_apr_2026,Girlfriends Films,2026-04,1,,xlsx monthly tab,USD,,1322.2625,1322.2625,1322.26,passed,ready,65 percent profit share,xlsx_girlfriends_quickbooks,,"Use invoice lines or product totals, not both."
girlfriends_may_2026,Girlfriends Films,2026-05,1,,xlsx monthly tab,USD,,515.45,515.45,515.45,passed,ready,65 percent profit share,xlsx_girlfriends_quickbooks,,"Use invoice lines or product totals, not both."
hpg_2026_01_canal_orange,HPG Production,2026-01,9,9,xlsx with paired pdf where present,EUR,80,658.815,658.815,658.82,passed,ready,Canal Orange partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_01_netgem,HPG Production,2026-01,6,6,xlsx with paired pdf where present,EUR,17,90.585,90.585,90.58,passed,ready,Netgem partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_01_proximus,HPG Production,2026-01,11,11,xlsx with paired pdf where present,EUR,63,433.150,433.150,433.15,passed,ready,Proximus partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_02_canal_orange,HPG Production,2026-02,11,11,xlsx with paired pdf where present,EUR,90,459.895,459.895,459.90,passed,ready,Canal Orange partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_02_netgem,HPG Production,2026-02,3,2,xlsx with paired pdf where present,EUR,5,37.275,37.275,37.28,passed,ready,Netgem partner revenue column,xlsx_hpg_channel,One paired PDF is missing.,Use xlsx as primary and PDF as optional verification.
hpg_2026_02_proximus,HPG Production,2026-02,12,12,xlsx with paired pdf where present,EUR,92,464.755,464.755,464.76,passed,ready,Proximus partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_03_canal_orange,HPG Production,2026-03,12,12,xlsx with paired pdf where present,EUR,126,664.085,664.085,664.08,passed,ready,Canal Orange partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_03_netgem,HPG Production,2026-03,8,8,xlsx with paired pdf where present,EUR,27,287.515,287.515,287.52,passed,ready,Netgem partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
hpg_2026_03_proximus,HPG Production,2026-03,12,12,xlsx with paired pdf where present,EUR,110,889.295,889.295,889.30,passed,ready,Proximus partner revenue column,xlsx_hpg_channel,,Use xlsx as primary and PDF as optional verification.
knpb_apr_2026,KNPB Media BV,2026-04,1,1,xlsx plus 42 page pdf,EUR,2139,16257.50,16257.50,16257.50 across studio postings,passed,ready,Total Income and T Revenue,xlsx_knpb_credit_note,,Use xlsx and retain PDF for verification.
level5_multi_period_2026,Level5 Media GmbH,"March, April, and May 2026",1,0,pdf,EUR,9,270.36,270.36,270.36 across three studio postings,passed,ready_with_review,studio totals and total net,pdf_level5_credit_note,MA.png is unrelated and excluded.,Parse the credit note only.
new_sensations_lhfs_4_26_xlsx,New Sensations Inc.,2026-04,1,,xlsx,USD,14,182,182,182.00,passed,ready,Paid amount less 30 percent fee and expenses,xlsx_new_sensations_paid,,Use Paid detail only and preserve fee and expense lines.
new_sensations_lwi_deep_4_26_xlsx,New Sensations Inc.,2026-04,1,,xlsx,USD,60,1468.25,1468.25,1468.25,passed,ready,Paid amount less 30 percent fee and expenses,xlsx_new_sensations_paid,,Use Paid detail only and preserve fee and expense lines.
new_sensations_mylf_4_26_xlsx,New Sensations Inc.,2026-04,1,,xlsx,USD,179,4099.9,4099.9,4099.90,passed,ready,Paid amount less 30 percent fee and expenses,xlsx_new_sensations_paid,,Use Paid detail only and preserve fee and expense lines.
new_sensations_pure_4_26_xlsx,New Sensations Inc.,2026-04,1,,xlsx,USD,312,5297.14,5297.14,5297.14,passed,ready,Paid amount less 30 percent fee and expenses,xlsx_new_sensations_paid,Expense deduction applies.,Use Paid detail only and preserve fee and expense lines.
new_sensations_visn_4_26_xlsx,New Sensations Inc.,2026-04,1,,xlsx,USD,148,2279.92,2279.92,2279.92,passed,ready,Paid amount less 30 percent fee and expenses,xlsx_new_sensations_paid,Expense deduction applies.,Use Paid detail only and preserve fee and expense lines.
omnet_2026_01,OMNet AG,2026-01,1,,xlsx embedded image,USD,,299.99,299.99,299.99,review_required,document_extraction_review,YOUR SHARE,xlsx_embedded_image_omnet,No usable worksheet cells.,Extract the embedded image and require total reconciliation.
omnet_2026_02,OMNet AG,2026-02,1,,xlsx embedded image,USD,,220.28,220.28,220.28,review_required,document_extraction_review,YOUR SHARE,xlsx_embedded_image_omnet,No usable worksheet cells.,Extract the embedded image and require total reconciliation.
omnet_2026_03,OMNet AG,2026-03,1,,xlsx embedded image,USD,,195.56,195.56,195.56,review_required,document_extraction_review,YOUR SHARE,xlsx_embedded_image_omnet,No usable worksheet cells.,Extract the embedded image and require total reconciliation.
omnet_2026_04,OMNet AG,2026-04,1,,xlsx embedded image,USD,,106.86,106.86,106.86,review_required,document_extraction_review,YOUR SHARE,xlsx_embedded_image_omnet,No usable worksheet cells.,Extract the embedded image and require total reconciliation.
pulse_bm_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,16.705,16.705,16.70,rounding_review,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_carnal_media_2_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,244.105,244.105,244.10,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_carnal_media_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,6331.6285,6331.6285,6331.63,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_dw_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,49.661,49.661,49.66,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_fking_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,1109.279,1109.279,1109.28,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_jrcp_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,25.05,25.05,25.05,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_jrock_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,39.665,39.665,39.66,rounding_review,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_karups_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,1757.0005,1757.0005,1757.00,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_lustery_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,763.931,763.931,763.93,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_max_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,3113.52,3113.52,3113.52,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_mormonb_g_bn_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,5833.8325,5833.8325,5833.83,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_nsfw_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,13.22,13.22,13.22,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_nvg_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,-1305.8785,-1305.8785,suppressed,negative_balance_correctly_suppressed,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,Negative balance carried forward.,Post positive final balance only.
pulse_nubilefilms_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,3584.006,3584.006,3584.01,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_nubiles_net_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,9020.2355,9020.2355,9020.24,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_psp_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,1625.878,1625.878,1625.88,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_paper_street_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,14341.05,14341.05,14341.05,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_pornpros_new_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,9201.8685,9201.8685,9201.87,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_pros_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,764.1475,764.1475,764.15,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
pulse_truex2_apr2026,Pulse Distribution,2026-04 cumulative,1,,xlsx,USD,,4.173,4.173,4.17,matched_historical_posting,ready_with_policy,final Summary balance,xlsx_pulse_cumulative_balance,,Post positive final balance only.
sonifi_source_2026_04,Sonifi Solutions,2026-04,1,,docx text statement,USD,14,1415.76,1415.76,blocked,source_passed_allocation_blocked,source_ready_allocation_blocked,Royalty vendor amount,docx_sonifi_statement,Studio payment policy is unresolved.,Automate source extraction now. Keep allocations and postings blocked.
sonifi_allocation_model,Sonifi Solutions,April 2025 through January 2026 model,0,1,xlsx internal model,USD,,,,,failed_formula_review,blocked,none until approved,xlsx_sonifi_allocation_model,P24 refers to O11 instead of O24.,Correct formulas and approve package allocation policy before use.
aebn_apr_2026,WMM Holdings LLC (AEBN),2026-04,1,1,xlsx plus portal screenshot,USD,2072,7097.61 portal,7097.60 line Total sum,7097.60 plus explicit one cent policy if required,warning,ready_with_reconciliation,"line Total for allocation, portal row for declared amount",xlsx_aebn_title,One cent portal difference and 0.46 component rounding difference.,Do not rebuild Total from components. Record the declared difference.
velvet_missing,Velvet Media B.V.,expected March 2026,0,0,missing,UNKNOWN,,,,,failed,blocked_missing_source,not available,missing_velvet_source,Supplied files are exact AEBN duplicates.,Request the expected 2603019 RFI New Media Group SPECS workbook and PDF.
