report_group_id,vendor,period,parser_family,source_format,automation_state,implementation_status,should_extract,posting_policy,expected_posting_total,target_match_status,target_candidate_count,target_candidate_sum,target_grouped_diff,closest_target_amount,closest_target_memo,closest_target_studio,closest_amount_diff,notes
1979_q1_2026,1979 Media (Dorcel),2026 Q1,xlsx_1979_dorcel,xlsx,ready_with_review,implemented_deterministic,TOTAL H.T. plus studio detail from Reversement distributeur,Use the period cell and keep the Q4 2025 delta as a separate adjustment.,20698.68 across studio postings,period_sum_match,8,20698.680000,0.000000,17623.95,Various titles Q1 2026,SARJ LLC,3074.730000,"Worksheet name says January to February, while the period cell says January to March."
aerona_apr_2026,AERONA LLC,2026-04,xlsx_aerona_rollup,xlsx,ready,implemented_deterministic,rollup Total column,Use the rollup. Keep raw files only for store detail and audit evidence.,81318.52 across studio postings,customer_period_candidates,195,404217.970000,322899.450000,22369.16,VOD April 2024,AMA Multimedia LLC,58949.360000,Raw files omit 570.6537 USD of Unlimited revenue in the four sampled platforms.
amg_apr_2026,All Media Group (AMG),2026-04,xlsx_amg_mixed,xlsx,review_gate,implemented_deterministic,Payout on nonhighlighted revenue share rows,Split automated revenue share and manual flat fee queues.,"568.2375 automated, remaining highlighted rows manual",customer_period_candidates,107,14043.380000,13475.142500,570.87,Various titles April 2023 - Benelux,AMA Multimedia LLC,2.632500,The workbook total includes yellow flat fee rows marked for manual handling.
av_apr_2026,AV Entertainment/Optical Xtreme,2026-04,xlsx_av_royalty_header,xlsx,ready,implemented_deterministic,header 35 percent royalty,Apply 35 percent and reconcile to the header.,907.45,customer_period_candidates,101,5299.840000,4392.390000,535.12,VOD April 2021,AMA Multimedia LLC,372.330000,"Line Total is gross, not payable."
dream_q1_2026,Dream Logistics BV,2026 Q1,pdf_invoice_lines,pdf,ready_with_review,not_implemented_review_gate,invoice subtotal minus adjustments,Parse four invoice lines and validate subtotal.,1417.50 across four studio postings,no_customer_period_match,0,,,,,,,
dusk_apr_2026,Dusk TV / 2GrapesMedia B.V.,2026-04,xlsx_dusk_playlist,xlsx plus pdf,ready,implemented_deterministic,footer payout total,"Use title rows only, then validate against the footer and PDF.",173.11,customer_period_candidates,12,1589.590000,1416.480000,170.1,Various titles April 2023,AMA Multimedia LLC,3.010000,Top and bottom summary rows duplicate the same values.
erigo_feb_2026,Erigo / Load,2026-02,pdf_payment_narrative,pdf,review_gate,not_implemented_review_gate,TOTAL USD PAYMENT,Parse named totals and require currency review.,461.85,customer_period_candidates,15,18613.840000,18151.990000,493.96,DVD December 2023 - Paid out February 2024,SARJ LLC,32.110000,One line has a malformed GBP label.
erika_q1_2026,Erika Lust / Lust Productions,2026 Q1,xlsx_erika_summary,xlsx,ready_with_warning,implemented_deterministic,producer summary,Use producer summary for postings and mark detail incomplete.,13235.86 across producer postings,period_sum_match,7,13235.860000,0.000000,8971.98,Various titles Q1 2026,SARJ LLC:MetArt,4263.880000,Detail omits Viv Thomas by 143.516114333329 EUR.
gamma_licensing_jan_2026,Gamma Broadcast Group Inc. Licensing,2026-01 processed in April 2026,xlsx_gamma_running_balance,xlsx,ready_with_review,implemented_deterministic,highlighted running balance after wire fee,Store period income and cumulative payable separately.,1861.99,single_row_amount_match,42,128190.960000,126328.970000,1861.99,Various titles January 2026 - Paid out April 2026,EENT Inc.,0.000000,"Current period earned is 1507.082659 USD, which is not the payable."
gamma_adult_time_apr_2026,Gamma Broadcast Group Inc. Adult Time,2026-04,pdf_adulttime_scene,pdf,ready_with_review,not_implemented_review_gate,sum of both report grand totals,Parse scene Revshare and bundle both PDFs.,959.51,single_row_amount_match,21,71856.010000,70896.500000,959.51,VOD April 2026,Paper Street Media LLC,0.000000,
girlfriends_apr_2026,Girlfriends Films,2026-04,xlsx_girlfriends_quickbooks,xlsx monthly tab,ready,implemented_deterministic,65 percent profit share,"Use invoice lines or product totals, not both.",1322.26,customer_period_candidates,7,5759.190000,4436.930000,1252.55,DVD April 2024,SARJ LLC,69.710000,A014: Raw QuickBooks sales require a 65 percent profit share calculation.
girlfriends_may_2026,Girlfriends Films,2026-05,xlsx_girlfriends_quickbooks,xlsx monthly tab,ready,implemented_deterministic,65 percent profit share,"Use invoice lines or product totals, not both.",515.45,customer_period_candidates,7,4072.290000,3556.840000,411.75,DVD May 2021,New Destiny Internet Group LLC:Homegrown,103.700000,A014: Raw QuickBooks sales require a 65 percent profit share calculation.
hpg_2026_01_canal_orange,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,658.82,customer_period_candidates,10,1182.610000,523.790000,267.32,Various titles January 2026,Steam Internet B.V.:MatureXXX,391.500000,
hpg_2026_01_netgem,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,90.58,customer_period_candidates,10,1182.610000,1092.030000,92.92,Various titles January 2026,NuVision Media LLC:Pornstar Platinum,2.340000,
hpg_2026_01_proximus,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Proximus partner revenue column,Use xlsx as primary and PDF as optional verification.,433.15,customer_period_candidates,10,1182.610000,749.460000,267.32,Various titles January 2026,Steam Internet B.V.:MatureXXX,165.830000,
hpg_2026_02_canal_orange,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,459.90,customer_period_candidates,10,962.000000,502.100000,247.04,Various titles February 2026,Paper Street Media LLC,212.860000,
hpg_2026_02_netgem,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,37.28,customer_period_candidates,10,962.000000,924.720000,29.71,Various titles February 2026,NuVision Media LLC:Pornstar Platinum,7.570000,One paired PDF is missing.
hpg_2026_02_proximus,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Proximus partner revenue column,Use xlsx as primary and PDF as optional verification.,464.76,customer_period_candidates,10,962.000000,497.240000,247.04,Various titles February 2026,Paper Street Media LLC,217.720000,
hpg_2026_03_canal_orange,HPG Production,2026-03,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,664.08,customer_period_candidates,20,1840.960000,1176.880000,298.01,Various titles March 2026,Steam Internet B.V.:MatureXXX,366.070000,
hpg_2026_03_netgem,HPG Production,2026-03,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,287.52,customer_period_candidates,20,1840.960000,1553.440000,298.01,Various titles March 2026,Steam Internet B.V.:MatureXXX,10.490000,
hpg_2026_03_proximus,HPG Production,2026-03,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Proximus partner revenue column,Use xlsx as primary and PDF as optional verification.,889.30,customer_period_candidates,20,1840.960000,951.660000,298.01,Various titles March 2026,Steam Internet B.V.:MatureXXX,591.290000,
knpb_apr_2026,KNPB Media BV,2026-04,xlsx_knpb_credit_note,xlsx plus 42 page pdf,ready,implemented_deterministic,Total Income and T Revenue,Use xlsx and retain PDF for verification.,16257.50 across studio postings,customer_period_candidates,170,80856.650000,64599.150000,5024.2,VOD April 2023,Paper Street Media LLC,11233.300000,
level5_multi_period_2026,Level5 Media GmbH,"March, April, and May 2026",pdf_level5_credit_note,pdf,ready_with_review,not_implemented_review_gate,studio totals and total net,Parse the credit note only.,270.36 across three studio postings,customer_period_candidates,2,799.230000,528.870000,337.24,VOD April 2025,SARJ LLC,66.880000,MA.png is unrelated and excluded.
new_sensations_lhfs_4_26_xlsx,New Sensations Inc.,2026-04,xlsx_new_sensations_paid,xlsx,ready,implemented_deterministic,Paid amount less 30 percent fee and expenses,Use Paid detail only and preserve fee and expense lines.,182.00,customer_period_candidates,27,83912.250000,83730.250000,132,DVD April 2021,NAMGA Member LLC:BAEB,50.000000,Expense deduction applies. | Expense deduction applies. | A015: Expense worksheets reduce the payable after the 30 percent distribution fee.
new_sensations_lwi_deep_4_26_xlsx,New Sensations Inc.,2026-04,xlsx_new_sensations_paid,xlsx,ready,implemented_deterministic,Paid amount less 30 percent fee and expenses,Use Paid detail only and preserve fee and expense lines.,1468.25,customer_period_candidates,27,83912.250000,82444.000000,1398.75,DVD April 2021,Neptune Media LLC:MYLF,69.500000,Expense deduction applies. | Expense deduction applies. | A015: Expense worksheets reduce the payable after the 30 percent distribution fee.
new_sensations_mylf_4_26_xlsx,New Sensations Inc.,2026-04,xlsx_new_sensations_paid,xlsx,ready,implemented_deterministic,Paid amount less 30 percent fee and expenses,Use Paid detail only and preserve fee and expense lines.,4099.90,customer_period_candidates,27,83912.250000,79812.350000,4278.75,DVD April 2024,Neptune Media LLC:MYLF,178.850000,Expense deduction applies. | Expense deduction applies. | A015: Expense worksheets reduce the payable after the 30 percent distribution fee.
new_sensations_pure_4_26_xlsx,New Sensations Inc.,2026-04,xlsx_new_sensations_paid,xlsx,ready,implemented_deterministic,Paid amount less 30 percent fee and expenses,Use Paid detail only and preserve fee and expense lines.,5297.14,customer_period_candidates,27,83912.250000,78615.110000,5052.59,DVD April 2025,Neptune Media LLC:MYLF,244.550000,Expense deduction applies.
new_sensations_visn_4_26_xlsx,New Sensations Inc.,2026-04,xlsx_new_sensations_paid,xlsx,ready,implemented_deterministic,Paid amount less 30 percent fee and expenses,Use Paid detail only and preserve fee and expense lines.,2279.92,customer_period_candidates,27,83912.250000,81632.330000,2187,DVD April 2023,Neptune Media LLC:MYLF,92.920000,Expense deduction applies.
omnet_2026_01,OMNet AG,2026-01,xlsx_embedded_image_omnet,xlsx embedded image,document_extraction_review,not_implemented_review_gate,YOUR SHARE,Extract the embedded image and require total reconciliation.,299.99,no_customer_period_match,0,,,,,,,No usable worksheet cells.
omnet_2026_02,OMNet AG,2026-02,xlsx_embedded_image_omnet,xlsx embedded image,document_extraction_review,not_implemented_review_gate,YOUR SHARE,Extract the embedded image and require total reconciliation.,220.28,no_customer_period_match,0,,,,,,,No usable worksheet cells.
omnet_2026_03,OMNet AG,2026-03,xlsx_embedded_image_omnet,xlsx embedded image,document_extraction_review,not_implemented_review_gate,YOUR SHARE,Extract the embedded image and require total reconciliation.,195.56,no_customer_period_match,0,,,,,,,No usable worksheet cells.
omnet_2026_04,OMNet AG,2026-04,xlsx_embedded_image_omnet,xlsx embedded image,document_extraction_review,not_implemented_review_gate,YOUR SHARE,Extract the embedded image and require total reconciliation.,106.86,no_customer_period_match,0,,,,,,,No usable worksheet cells.
pulse_bm_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,16.70,single_row_amount_match,129,488984.300000,488967.600000,16.7,DVD April 2026,Alan Raz Photography:Bare Maidens,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_carnal_media_2_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,244.10,single_row_amount_match,129,488984.300000,488740.200000,244.11,DVD April 2026 - CP2,Carnal Media LLC:JSE,0.010000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_carnal_media_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,6331.63,single_row_amount_match,129,488984.300000,482652.670000,6331.63,DVD April 2026 - CP1,Carnal Media LLC,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_dw_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,49.66,single_row_amount_match,129,488984.300000,488934.640000,49.66,DVD April 2026,Davey Wavey Inc.:Himeros,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_fking_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,1109.28,single_row_amount_match,129,488984.300000,487875.020000,1109.28,DVD April 2026,Eyecash Inc.:Filthy Kings,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_jrcp_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,25.05,single_row_amount_match,129,488984.300000,488959.250000,25.05,DVD April 2026 - JR2,Jayrock Media Inc.,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_jrock_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,39.66,single_row_amount_match,129,488984.300000,488944.640000,39.66,DVD April 2026 - JR,Jayrock Media Inc.:Jay Rock Productions,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_karups_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,1757.00,single_row_amount_match,129,488984.300000,487227.300000,1757,DVD April 2026,EENT Inc.:KA,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_lustery_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,763.93,single_row_amount_match,129,488984.300000,488220.370000,763.93,DVD April 2026,EFC GmbH:Lustery,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_max_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,3113.52,single_row_amount_match,129,488984.300000,485870.780000,3113.52,DVD April 2026,Steam Internet B.V.:MatureXXX,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_mormonb_g_bn_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,5833.83,single_row_amount_match,129,488984.300000,483150.470000,5833.83,DVD April 2026,Charged Media LLC,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_nsfw_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,13.22,single_row_amount_match,129,488984.300000,488971.080000,13.22,DVD April 2026,BLT Innovations LLC:NSFW Films,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_nvg_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,suppressed,customer_period_candidates,129,488984.300000,488984.300000,4.17,DVD April 2026 - TX2,SMM Inc.,4.170000,Negative balance carried forward.
pulse_nubilefilms_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,3584.01,single_row_amount_match,129,488984.300000,485400.290000,3584.01,DVD April 2026,NF Media Inc,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_nubiles_net_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,9020.24,single_row_amount_match,129,488984.300000,479964.060000,9020.24,DVD April 2026,XFC Inc,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_psp_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,1625.88,single_row_amount_match,129,488984.300000,487358.420000,1625.88,DVD April 2026,NuVision Media LLC:Pornstar Platinum,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_paper_street_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,14341.05,single_row_amount_match,129,488984.300000,474643.250000,14341.05,DVD April 2026,Paper Street Media LLC,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_pornpros_new_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,9201.87,single_row_amount_match,129,488984.300000,479782.430000,9201.87,DVD April 2026,AMA Multimedia LLC,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_pros_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,764.15,single_row_amount_match,129,488984.300000,488220.150000,764.15,DVD April 2026,Orca Flow Studios Inc.:Property Sex,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
pulse_truex2_apr2026,Pulse Distribution,2026-04 cumulative,xlsx_pulse_cumulative_balance,xlsx,ready_with_policy,implemented_deterministic,final Summary balance,Post positive final balance only.,4.17,single_row_amount_match,129,488984.300000,488980.130000,4.17,DVD April 2026 - TX2,SMM Inc.,0.000000,"Negative balance carried forward. | A003: Historical postings use the final cumulative Summary balance, not April sales."
sonifi_source_2026_04,Sonifi Solutions,2026-04,docx_sonifi_statement,docx text statement,source_ready_allocation_blocked,not_implemented_review_gate,Royalty vendor amount,Automate source extraction now. Keep allocations and postings blocked.,blocked,no_customer_period_match,0,,,,,,,Studio payment policy is unresolved.
sonifi_allocation_model,Sonifi Solutions,April 2025 through January 2026 model,xlsx_sonifi_allocation_model,xlsx internal model,blocked,not_implemented_review_gate,none until approved,Correct formulas and approve package allocation policy before use.,,no_customer_period_match,0,,,,,,,P24 refers to O11 instead of O24.
aebn_apr_2026,WMM Holdings LLC (AEBN),2026-04,xlsx_aebn_title,xlsx plus portal screenshot,ready_with_reconciliation,implemented_deterministic,"line Total for allocation, portal row for declared amount",Do not rebuild Total from components. Record the declared difference.,7097.60 plus explicit one cent policy if required,customer_period_candidates,229,133693.970000,126596.370000,6392.72,VOD April 2021,Charged Media LLC,704.880000,One cent portal difference and 0.46 component rounding difference.
velvet_missing,Velvet Media B.V.,expected March 2026,missing_velvet_source,missing,blocked_missing_source,,not available,Request the expected 2603019 RFI New Media Group SPECS workbook and PDF.,,customer_period_candidates,96,15541.280000,,,,,,Supplied files are exact AEBN duplicates.